1821,0.91,-1500,-1221.271456,-488.6719583,-2000,896.1472322,1196.920138,-2500,-385.6286247,2381.032451,,,
1822,0.9105,-1481.532511,-1069.994178,-260.8052851,-1975.376681,1164.817952,931.5282971,-2469.220851,-767.2863928,2232.510774,,,
1823,0.911,-1426.584774,-892.3700916,-26.51672012,-1902.113033,1404.806989,643.1991378,-2377.641291,-1130.051023,2029.017273,,,
1824,0.9115,-1336.509786,-692.7728924,208.4247745,-1782.013048,1610.205015,339.0322811,-2227.51631,-1464.990047,1775.562633,,,
1825,0.912,-1213.525492,-476.1173254,438.2341594,-1618.033989,1775.954449,26.51732443,-2022.542486,-1763.856154,1478.387748,,,
1826,0.9125,-1060.660172,-247.7381697,657.2527649,-1414.213562,1897.973991,-286.6505768,-1767.766953,-2019.290269,1144.810049,,,
1827,0.913,-881.6778785,-13.25887805,860.0876261,-1175.570505,1973.259115,-592.7601894,-1469.463131,-2225.002756,783.0433286,,,
1828,0.9135,-680.9857496,221.5468912,1041.744275,-907.9809995,1999.95605,-884.2740789,-1134.976249,-2375.92829,401.9954823,,,
1829,0.914,-463.5254916,450.8974407,1197.749723,-618.0339888,1977.407429,-1154.014206,-772.542486,-2468.350585,11.04917298,,,
1830,0.9145,-234.6516976,669.1453987,1324.262598,-312.8689301,1906.168475,-1395.338673,-391.0861626,-2499.993896,-380.1692036,,,
1831,0.915,-2.13464E-08,870.9167763,1418.167732,-2.84619E-08,1787.993327,-1602.305271,-3.55774E-08,-2470.07906,-762.0265527,,,
1832,0.9155,234.6516975,1051.243292,1477.152871,312.8689301,1625.791849,-1769.817796,391.0861626,-2379.342681,-1125.120279,,,
1833,0.916,463.5254915,1205.68471,1499.765603,618.0339887,1423.557981,-1893.751533,772.5424859,-2230.018987,-1460.50981,,,
1834,0.9165,680.9857496,1330.438168,1485.449129,907.9809995,1186.27139,-1971.054822,1134.976249,-2025.784826,-1759.936742,,,
1835,0.917,881.6778784,1422.431823,1434.555967,1175.570505,919.7748606,-1999.8242,1469.463131,-1771.669119,-2016.028191,,,
1836,0.9175,1060.660172,1479.400486,1348.339276,1414.213562,630.6304215,-1979.351269,1767.766953,-1473.929038,-2222.478335,,,
1837,0.918,1213.525492,1499.9414,1228.921997,1618.033989,325.9577686,-1910.140141,2022.542486,-1139.895933,-2374.203687,,,
1838,0.9185,1336.509786,1483.548777,1079.244581,1782.013048,13.2589536,-1793.895023,2227.51631,-777.7948064,-2467.468264,,,
1839,0.919,1426.584774,1430.626261,902.9925805,1902.113033,-299.7663408,-1633.478256,2377.641291,-396.5417907,-2499.975583,,,
1840,0.9195,1481.532511,1342.476978,704.5059062,1975.376681,-605.4103931,-1432.839833,2469.220851,-5.524599996,-2470.925207,,,
1841,0.92,1500,1221.271456,488.6719583,2000,-896.1472322,-1196.920138,2500,385.6286247,-2381.032451,,,
1842,0.9205,1481.532511,1069.994178,260.8052851,1975.376681,-1164.817952,-931.5282971,2469.220851,767.2863928,-2232.510774,,,
1843,0.921,1426.584774,892.3700916,26.51672012,1902.113033,-1404.806989,-643.1991378,2377.641291,1130.051023,-2029.017273,,,
1844,0.9215,1336.509786,692.7728924,-208.4247745,1782.013048,-1610.205015,-339.0322811,2227.51631,1464.990047,-1775.562633,,,
1845,0.922,1213.525492,476.1173254,-438.2341594,1618.033989,-1775.954449,-26.51732444,2022.542486,1763.856154,-1478.387748,,,
1846,0.9225,1060.660172,247.7381697,-657.2527649,1414.213562,-1897.973991,286.6505768,1767.766953,2019.290269,-1144.810049,,,
1847,0.923,881.6778785,13.25887805,-860.0876261,1175.570505,-1973.259115,592.7601894,1469.463131,2225.002756,-783.0433286,,,
1848,0.9235,680.9857496,-221.5468912,-1041.744275,907.9809995,-1999.95605,884.2740789,1134.976249,2375.92829,-401.9954823,,,
1849,0.924,463.5254916,-450.8974407,-1197.749723,618.0339888,-1977.407429,1154.014206,772.542486,2468.350585,-11.04917298,,,
1850,0.9245,234.6516976,-669.1453987,-1324.262598,312.8689301,-1906.168475,1395.338673,391.0861626,2499.993896,380.1692036,,,
1851,0.925,2.18742E-08,-870.9167763,-1418.167732,2.91656E-08,-1787.993327,1602.305271,3.6457E-08,2470.07906,762.0265527,,,
1852,0.9255,-234.6516975,-1051.243292,-1477.152871,-312.8689301,-1625.791849,1769.817796,-391.0861626,2379.342681,1125.120279,,,
1853,0.926,-463.5254915,-1205.68471,-1499.765603,-618.0339887,-1423.557981,1893.751533,-772.5424859,2230.018987,1460.50981,,,
1854,0.9265,-680.9857496,-1330.438168,-1485.449129,-907.9809995,-1186.27139,1971.054822,-1134.976249,2025.784826,1759.936742,,,
1855,0.927,-881.6778784,-1422.431823,-1434.555967,-1175.570505,-919.7748606,1999.8242,-1469.463131,1771.669119,2016.028191,,,
1856,0.9275,-1060.660172,-1479.400486,-1348.339276,-1414.213562,-630.6304215,1979.351269,-1767.766953,1473.929038,2222.478335,,,
1857,0.928,-1213.525492,-1499.9414,-1228.921997,-1618.033989,-325.9577686,1910.140141,-2022.542486,1139.895933,2374.203687,,,
1858,0.9285,-1336.509786,-1483.548777,-1079.244581,-1782.013048,-13.2589536,1793.895023,-2227.51631,777.7948064,2467.468264,,,
1859,0.929,-1426.584774,-1430.626261,-902.9925805,-1902.113033,299.7663408,1633.478256,-2377.641291,396.5417907,2499.975583,,,
1860,0.9295,-1481.532511,-1342.476978,-704.5059062,-1975.376681,605.4103931,1432.839833,-2469.220851,5.524599997,2470.925207,,,
1861,0.93,-1500,-1221.271456,-488.6719583,-2000,896.1472322,1196.920138,-2500,-385.6286247,2381.032451,,,
1862,0.9305,-1481.532511,-1069.994178,-260.8052851,-1975.376681,1164.817952,931.5282971,-2469.220851,-767.2863928,2232.510774,,,
1863,0.931,-1426.584774,-892.3700916,-26.51672012,-1902.113033,1404.806989,643.1991378,-2377.641291,-1130.051023,2029.017273,,,
1864,0.9315,-1336.509786,-692.7728924,208.4247745,-1782.013048,1610.205015,339.0322811,-2227.51631,-1464.990047,1775.562633,,,
1865,0.932,-1213.525492,-476.1173254,438.2341594,-1618.033989,1775.954449,26.51732444,-2022.542486,-1763.856154,1478.387748,,,
1866,0.9325,-1060.660172,-247.7381697,657.2527649,-1414.213562,1897.973991,-286.6505768,-1767.766953,-2019.290269,1144.810049,,,
1867,0.933,-881.6778785,-13.25887805,860.0876261,-1175.570505,1973.259115,-592.7601894,-1469.463131,-2225.002756,783.0433286,,,
1868,0.9335,-680.9857496,221.5468912,1041.744275,-907.9809995,1999.95605,-884.2740789,-1134.976249,-2375.92829,401.9954823,,,
1869,0.934,-463.5254916,450.8974407,1197.749723,-618.0339888,1977.407429,-1154.014206,-772.542486,-2468.350585,11.04917298,,,
1870,0.9345,-234.6516976,669.1453987,1324.262598,-312.8689301,1906.168475,-1395.338673,-391.0861626,-2499.993896,-380.1692036,,,
1871,0.935,-2.24019E-08,870.9167763,1418.167732,-2.98693E-08,1787.993327,-1602.305271,-3.73366E-08,-2470.07906,-762.0265527,,,
1872,0.9355,234.6516975,1051.243292,1477.152871,312.8689301,1625.791849,-1769.817796,391.0861626,-2379.342681,-1125.120279,,,
1873,0.936,463.5254915,1205.68471,1499.765603,618.0339887,1423.557981,-1893.751533,772.5424859,-2230.018987,-1460.50981,,,
1874,0.9365,680.9857496,1330.438168,1485.449129,907.9809995,1186.27139,-1971.054822,1134.976249,-2025.784826,-1759.936742,,,
1875,0.937,881.6778784,1422.431823,1434.555967,1175.570505,919.7748606,-1999.8242,1469.463131,-1771.669119,-2016.028191,,,
1876,0.9375,1060.660172,1479.400486,1348.339276,1414.213562,630.6304215,-1979.351269,1767.766953,-1473.929038,-2222.478335,,,
1877,0.938,1213.525492,1499.9414,1228.921997,1618.033989,325.9577686,-1910.140141,2022.542486,-1139.895933,-2374.203687,,,
1878,0.9385,1336.509786,1483.548777,1079.244581,1782.013048,13.2589536,-1793.895023,2227.51631,-777.7948064,-2467.468264,,,
1879,0.939,1426.584774,1430.626261,902.9925805,1902.113033,-299.7663408,-1633.478256,2377.641291,-396.5417907,-2499.975583,,,
1880,0.9395,1481.532511,1342.476978,704.5059062,1975.376681,-605.4103931,-1432.839833,2469.220851,-5.524599998,-2470.925207,,,
1881,0.94,1500,1221.271456,488.6719583,2000,-896.1472322,-1196.920138,2500,385.6286247,-2381.032451,,,
